Date	EAN	SKU	Machine Type	SN Machine	SN Box	Country ("Free")		Client			Date				Sort
01.01.2013 01:00:00	7615400202706	7516826	TASKI swingo 755 B Power BMS EURO	49177	5X08500518001100	MONTAGE		ISS Netherlands			1	1	2013	1:00:00	20130101
01.01.2016	7615400202249000000	7518373	swingo 755 B Power	1001	3X35660B16001300						1	1	2016		20160101
04.03.2016 14:16:31	7615400202706040000	7516826	TASKI swingo 755 B Power BMS EURO	45399	5U13160D16001300	MONTAGE		ISS France			4	3	2016	14:16:31	20160304
04.03.2016 13:51:11	7615400202232010000	7515883	TASKI swingo 1650 BMS EURO	10104	5U13160D16001600	MONTAGE		ISS France			4	3	2016	13:51:11	20160304
07.03.2016 07:09:03	7615400202706040000	7516826	TASKI swingo 755 B Power BMS EURO	45397	5U13160C03000F00	MONTAGE		ISS France			7	3	2016	7:09:03	20160307
07.03.2016 06:02:05	7615400202706040000	7516826	TASKI swingo 755 B Power BMS EURO	45398	5U13160C0E000500	MONTAGE		ISS France			7	3	2016	6:02:05	20160307
07.03.2016 10:16:25	7615400202232010000	7515883	TASKI swingo 1650 BMS EURO	10105	5U13160D06001400	MONTAGE		ISS France			7	3	2016	10:16:25	20160307
09.03.2016 17:11:49	7615400202751030000	7516831	TASKI swingo 1255 B Power BMS EURO	39817	5U13160609000E00	PT		Promotion Portugal			9	3	2016	17:11:49	20160309
09.03.2016 16:31:07	7615400202751030000	7516831	TASKI swingo 1255 B Power BMS EURO	39822	5U13160D10001300	PT		Promotion Portugal			9	3	2016	16:31:07	20160309
09.03.2016 15:18:10	7615400202751030000	7516831	TASKI swingo 1255 B Power BMS EURO	32447	5U13160D17001200	PT		Promotion Portugal			9	3	2016	15:18:10	20160309
10.03.2016 16:49:57	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	40491	5U13160D0B001500	PT		Promotion Portugal			10	3	2016	16:49:57	20160310
10.03.2016 17:38:56	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	40491	5U13160D0B001500	PT		Promotion Portugal			10	3	2016	17:38:56	20160310
10.03.2016 09:22:45	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	40490	5U13160D13001400	PT		Promotion Portugal			10	3	2016	9:22:45	20160310
10.03.2016 09:22:45	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	40490	5U13160D13001400	PT		Promotion Portugal			10	3	2016	9:22:45	20160310
14.03.2016 14:58:05	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	45475	5U13160C07000F00	PT		Promotion Portugal			14	3	2016	14:58:05	20160314
14.03.2016 17:23:37	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	45472	5U13160D15001500	PT		Promotion Portugal			14	3	2016	17:23:37	20160314
15.03.2016 12:21:45	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	45476	5U13160D0E001400	PT		Promotion Portugal			15	3	2016	12:21:45	20160315
15.03.2016 10:41:19	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	45474	5U13160D11000000	PT		Promotion Portugal			15	3	2016	10:41:19	20160315
15.03.2016 09:48:28	7615400202751040000	7516831	TASKI swingo 1255 B Power BMS EURO	45473	5U13160D14001600	PT		Promotion Portugal			15	3	2016	9:48:28	20160315
16.03.2016 13:41:55	7615400202737040000	7516829	TASKI swingo 1255 B Power	45063	5U13160110001500	CZ		Ahold CZ			16	3	2016	13:41:55	20160316
16.03.2016 12:54:39	7615400202737040000	7516829	TASKI swingo 1255 B Power	44125	5U13160306000600	CZ		Ahold CZ			16	3	2016	12:54:39	20160316
16.03.2016 13:19:01	7615400202737040000	7516829	TASKI swingo 1255 B Power	44124	5U13160306001100	CZ		Ahold CZ			16	3	2016	13:19:01	20160316
16.03.2016 13:28:24	7615400202737040000	7516829	TASKI swingo 1255 B Power	44124	5U13160306001100	CZ		Ahold CZ			16	3	2016	13:28:24	20160316
16.03.2016 13:14:37	7615400202737040000	7516829	TASKI swingo 1255 B Power	44916	5U13160314001100	CZ		Ahold CZ			16	3	2016	13:14:37	20160316
16.03.2016 14:59:00	7615400219483000000	7523356	TASKI swingo XP-R BMS EURO	2742	5U13160606001700	MONTAGE		Asito			16	3	2016	14:59:00	20160316
16.03.2016 14:59:00	7615400219483000000	7523356	TASKI swingo XP-R BMS EURO	2742	5U13160606001700	MONTAGE		Asito			16	3	2016	14:59:00	20160316
16.03.2016 13:30:36	7615400202737040000	7516829	TASKI swingo 1255 B Power	44919	5U13160612000E00	CZ		Ahold CZ			16	3	2016	13:30:36	20160316
16.03.2016 13:37:30	7615400202737040000	7516829	TASKI swingo 1255 B Power	44924	5U13160B09000A00	CZ		Ahold CZ			16	3	2016	13:37:30	20160316
16.03.2016 12:56:13	7615400502721010000	8004740	TASKI swingo 2500	11790	5U13160C11000700	MONTAGE		Demo Set 1			16	3	2016	12:56:13	20160316
16.03.2016 12:56:13	7615400502721010000	8004740	TASKI swingo 2500	11790	5U13160C11000700	MONTAGE		Demo Set 1			16	3	2016	12:56:13	20160316
16.03.2016 12:57:08	7615400502721010000	8004740	TASKI swingo 2500	11790	5U13160C11000700	MONTAGE		Demo Set 1			16	3	2016	12:57:08	20160316
16.03.2016 12:57:08	7615400502721010000	8004740	TASKI swingo 2500	11790	5U13160C11000700	MONTAGE		Demo Set 1			16	3	2016	12:57:08	20160316
16.03.2016 13:24:45	7615400202737040000	7516829	TASKI swingo 1255 B Power	45067	5U13160D0E000000	CZ		Ahold CZ			16	3	2016	13:24:45	20160316
16.03.2016 13:09:11	7615400202737040000	7516829	TASKI swingo 1255 B Power	44921	5U13161909001700	CZ		Ahold CZ			16	3	2016	13:09:11	20160316
